title,link
"It is a sin to blame others for your misery | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/US02bSzzyww
"Ego and Jealousy Can Destroy a Person | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/IGlrCIjwygY
"Secular education is necessary but what is true education? | Sri Sathya Sai Speaks | Jan 14, 2003",https://www.youtube.com/shorts/noSNXR6L6Ww
"Why Mind and Matter must coexist | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/hMFukgV9xLU
"What is the true meaning of 'Spirituality'? | Sri Sathya Sai Speaks | Dec 06, 1986",https://www.youtube.com/shorts/XadpGbAB5gs
"Even with devotion and worship we are restless. Why? | Sri Sathya Sai Speaks | Mar 02, 2003",https://www.youtube.com/shorts/zQMJfG8d2Qg
"God is not in you. You are in God | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/bQ2-4mol6yA
"Bhajans and worship should be done with tenderness | Sri Sathya Sai Speaks | Mar 02, 2003",https://www.youtube.com/shorts/rgEbMQwUAhk
"Don't search for God in the outside world | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/yldvnFzG5UQ
"The best way to utilise 24 hours | Sri Sathya Sai Speaks | Nov 23, 1999",https://www.youtube.com/shorts/jbmgSCU2gAo
"Coming to Prasanthi for so long your desires are only growing | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/Mlw6Ors8fww
"Mind cannot comprehend the Atma | Sri Sathya Sai Speaks | Apr 14, 1998",https://www.youtube.com/shorts/7lZ_8S115No
"How to be true devotees of Prasanthi Nilayam | Sri Sathya Sai Speaks | Mar 02, 2003",https://www.youtube.com/shorts/CksyOOYyrn4
"It is a mistake to think God resides in your heart | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/Oi-5GJ8RWns
"Life is full of light and shadow, joy and sorrow | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/tmCIiPPzxsw
"What distinguishes man from the rest of creation? | Sri Sathya Sai Speaks | Dec 06, 1986",https://www.youtube.com/shorts/1yUjBVY1V3s
"Atma Jnana is not quotations from scriptures | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/Rv5y2zd4sw8
"Analogy for Ekatma Sarvabhutantaratma | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/_rSmEKhOCr8
"Bad Actions Give you Bad Results | Sri Sathya Sai Speaks | Apr 14, 1998",https://www.youtube.com/shorts/pw1srBOqojI
"How to Control Your Senses Instantly | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/RxOxkWdi1DA
"Put effort into knowing your own cosmic form| Sri Sathya Sai Speaks | Nov 23, 1999",https://www.youtube.com/shorts/LCMs3AImja8
"Padyam on Truth: Satyambunandundi Sarvambu Srushtinche | Sri Sathya Sai Speaks | Jan 14, 2003",https://www.youtube.com/shorts/9NIQ4Gvbumo
"Science confers ignorance, not knowledge? How? | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/Ber9-g3Ry48
"What is the main objective of the 9 paths of devotion? | Sri Sathya Sai Speaks | Mar 02, 2003",https://www.youtube.com/shorts/dPBC9AtZoUo
"The body dances, but who makes it dance? | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/yuY4tnstufE
"What was the cause of the mighty Ravana's ruin? | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/mEW4IDnGd6E
"Education is not from Pustaka (book) or Mastaka (head) | Sri Sathya Sai Speaks | Jan 14, 2003",https://www.youtube.com/shorts/AsUh5JX0Dpw
"How to See God | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/o-JbfK5DYdo
"Ramakrishna Paramahamsa’s Deep Yearning for the Divine Mother | Sri Sathya Sai Speaks | Nov 23, 1999",https://www.youtube.com/shorts/DBwfcYzNFXY
"Meaning of Sarvam Khalvidam Brahma | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/8u_GZ6I_1N4
"Nammalvar says, Worship with your Heart | Sri Sathya Sai Speaks | Apr 14, 1998",https://www.youtube.com/shorts/GjwZNAPLsBo
"Stories and lessons children should be taught | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/i8A7deeI5Hg
"Today's conduct becomes tomorrow's culture (Samskriti) | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/-K12liS-V7s
"We should not waste even a minute or a moment | Sri Sathya Sai Speaks | Nov 23, 1999",https://www.youtube.com/shorts/8yZJMY-dsyg
"What does true Satsang mean? | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/gkBgJtukKr0
"Kathopanishad:  Body-Chariot; Atma-Charioteer | Sri Sathya Sai Speaks | Dec 06, 1986",https://www.youtube.com/shorts/g-AbjsipUCY
"Nityanandam Parama Sukhadam - experience this eternal bliss | Sri Sathya Sai Speaks | Jan 14, 2003",https://www.youtube.com/shorts/eu7Jq-BARNU
"Man is absolutely fearful because of this | Sri Sathya Sai Speaks | Mar 02, 2003",https://www.youtube.com/shorts/s9dFqY9bYrE
"What does Samskara (culture) mean? | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/ALOttuUvFLw
"What is the transcendental truth? | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/mrmhgQe7Pvw
"Satsanga does not merely mean good company | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/Uz8GKc4bfts
